Epoch: 01 | Epoch Time: 5m 16s
	Train Loss: 1181.194 | Train Acc: 64.56%
	 Val. Loss: 623.138 |  Val. Acc: 79.84%
	 Val. F1 Mac: 0.47 |  Val. F1 Mic: 0.80
Epoch: 02 | Epoch Time: 5m 15s
	Train Loss: 496.237 | Train Acc: 83.51%
	 Val. Loss: 413.376 |  Val. Acc: 85.18%
	 Val. F1 Mac: 0.61 |  Val. F1 Mic: 0.85
Epoch: 03 | Epoch Time: 5m 17s
	Train Loss: 356.739 | Train Acc: 86.79%
	 Val. Loss: 376.657 |  Val. Acc: 85.40%
	 Val. F1 Mac: 0.71 |  Val. F1 Mic: 0.85
Epoch: 04 | Epoch Time: 5m 21s
	Train Loss: 294.333 | Train Acc: 88.66%
	 Val. Loss: 343.303 |  Val. Acc: 87.06%
	 Val. F1 Mac: 0.77 |  Val. F1 Mic: 0.87
Epoch: 05 | Epoch Time: 5m 19s
	Train Loss: 240.921 | Train Acc: 90.86%
	 Val. Loss: 343.527 |  Val. Acc: 87.23%
	 Val. F1 Mac: 0.76 |  Val. F1 Mic: 0.87
Epoch: 06 | Epoch Time: 5m 20s
	Train Loss: 205.181 | Train Acc: 92.24%
	 Val. Loss: 334.228 |  Val. Acc: 88.12%
	 Val. F1 Mac: 0.79 |  Val. F1 Mic: 0.88
Epoch: 07 | Epoch Time: 5m 18s
	Train Loss: 176.969 | Train Acc: 93.29%
	 Val. Loss: 342.304 |  Val. Acc: 88.09%
	 Val. F1 Mac: 0.79 |  Val. F1 Mic: 0.88
Epoch: 08 | Epoch Time: 5m 19s
	Train Loss: 155.019 | Train Acc: 94.07%
	 Val. Loss: 344.645 |  Val. Acc: 88.37%
	 Val. F1 Mac: 0.81 |  Val. F1 Mic: 0.88
Epoch: 09 | Epoch Time: 5m 18s
	Train Loss: 139.171 | Train Acc: 94.59%
	 Val. Loss: 335.964 |  Val. Acc: 88.45%
	 Val. F1 Mac: 0.81 |  Val. F1 Mic: 0.88
Epoch: 10 | Epoch Time: 5m 19s
	Train Loss: 124.230 | Train Acc: 95.21%
	 Val. Loss: 362.646 |  Val. Acc: 88.46%
	 Val. F1 Mac: 0.81 |  Val. F1 Mic: 0.88
Epoch: 11 | Epoch Time: 5m 19s
	Train Loss: 115.098 | Train Acc: 95.36%
	 Val. Loss: 362.137 |  Val. Acc: 88.41%
	 Val. F1 Mac: 0.81 |  Val. F1 Mic: 0.88
Epoch: 12 | Epoch Time: 5m 19s
	Train Loss: 123.931 | Train Acc: 95.02%
	 Val. Loss: 340.933 |  Val. Acc: 88.38%
	 Val. F1 Mac: 0.81 |  Val. F1 Mic: 0.88
Epoch: 13 | Epoch Time: 5m 14s
	Train Loss: 98.008 | Train Acc: 95.90%
	 Val. Loss: 374.787 |  Val. Acc: 88.51%
	 Val. F1 Mac: 0.80 |  Val. F1 Mic: 0.89
Epoch: 14 | Epoch Time: 5m 12s
	Train Loss: 87.514 | Train Acc: 96.19%
